endpoint,status_code,success,matched_key_path,example_value
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[9].avg_views_per_post,0
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[10].followers,447139
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[10].avg_views_per_post,0
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[11].followers,447139
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[11].avg_views_per_post,0
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[12].followers,447139
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[12].avg_views_per_post,0
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[13].followers,447139
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[13].avg_views_per_post,0
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[14].followers,447139
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[14].avg_views_per_post,0
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[15].followers,447139
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[15].avg_views_per_post,0
